Symbol	Name	Value	Income	Yield
MMM	3m Company	4604.490000000001	114.05000000000001	2.476930126897876
AXP	American Express	6356	128	2.0138451856513533
AAPL	Apple Computer	113700	227.99999999999997	0.20052770448548812
BA	Boeing	13483	436.0000000000002	3.2337016984350666
CAT	Caterpillar	8896	308	3.462230215827338
CVX	Chevron Corp Common	10232	574	4.258792105653657
CSCO	Cisco Systems	3157	104	3.2942667089008553
KO	Coca Cola	4168	140	3.358925143953935
DD	Dupont	6786	152	2.2399056881815502
XOM	Exxon Mobile	8725	300	3.4383954154727796
GE	General Electric	2940	92	3.1292517006802725
GS	Goldman Sachs	10718	260	2.425825713752566
HD	Home Depot	12687	276	2.175455190352329
IBM	Intrernational Business Machines Corp	15684	560	3.570517725070135
INTC	Intel Crop.	6101.300000000004	176.80000000000004	2.897743103928671
JNJ	Johnson and Johnson	6205.680000000007	176.80000000000004	2.849002849002849
JPM	JPMorgan Chase	6773	192.00000000000003	2.8347851764358483
MCD	McDonald's	11325	376	3.3200883002207506
MRK	Merck & Co Inc.	6249	184.00000000000003	2.9444711153784606
MSFT	Microsoft	5774	156.00000000000006	2.7017665396605475
NKE	Nike	5220	64	1.2260536398467434
PFE	Pfizer	3378	120.00000000000001	3.5523978685612785
PG	Procter & Gamble	8883	268	3.016998761679613
VZ	Verizon Communications	5233	226	4.318746416969234
